FileName,GameMode,Map,Version,Region,GameTime,Team,PlayerName,PlayerLevel,HeroName,HeroLevel,Award,Talents_L1,Talents_L4,Talents_L7,Talents_L10,Talents_L13,Talents_L16,Talents_L20,HeroKills,Assists,Takedowns,Deaths,MinionDamage,SummonDamage,StructureDamage,TotalSiegeDamage,HeroDamage,DamageTaken,HealingShielding,SelfHealing,Experience,SpentDead,RootingHeroes,SilenceHeroes,StunHeroes,CCHeroes,OnFire,SpellDamage,PhysicalDamage,MercDamage,MercCampCaptures,WatchTowerCaptures,TownKills,MinionKills,RegenGlobes,Winner,Role
2025-01-12 16.58.40 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:24,Red,WatchdogMan,2833,Tychus,1,0,0,TychusMeltingPoint,TychusHeroicAbilityCommandeerOdin,TychusMasterySprayNPray,TychusMasteryOverkillArmorPiercingRounds,TychusMasteryOdinBigRedButton,0,5,16,21,3,23492,0,22723,46215,67625,58526,0,0,11246,0:00:41,0.0,0:00:00,0:00:00,0:00:00,0:01:23,90868,26519,0,0,0,2,16,30,Yes,Ranged Assassin
2025-01-12 16.58.40 Lost Cavern.StormReplay,aram,Lost Cavern,2.55.8.93382,us,0:15:24,Red,Raizenser,3011,Muradin,1,0,MuradinMasteryStormhammerSledgehammer,0,MuradinGiveEmTheAxeExecutioner60DamageBonus,MuradinBronzebeardRage,MuradinMasteryDwarfTossDwarfLaunch,MuradinMasteryHaymakerGrandSlam,0,3,19,22,7,7278,0,16796,24074,34997,101075,0,19271,11098,0:01:32,0.0,0:00:00,0:00:41,0:00:00,0:00:00,39584,22494,0,0,0,2,12,23,Yes,Tank
2025-01-12 23.52.33 Industrial District.StormReplay,aram,Industrial District,2.55.8.93382,us,0:15:23,Blue,Malenfant,791,Greymane,1,0,GreymaneDarkflightThickSkin,0,GreymaneHeroicAbilityGoForTheThroat,GreymaneRazorSwipeUnfetteredAssault,0,GreymaneWorgenFormAlphaKiller,0,6,8,14,5,51510,447,3560,55517,79569,58769,0,0,11712,0:02:42,0.0,0:00:00,0:00:00,0:00:00,0:01:38,101954,33132,0,0,0,0,53,37,No,Melee Assassin
2025-02-17 00.08.23 Industrial District.StormReplay,aram,Industrial District,2.55.9.93640,us,0:15:23,Blue,Raizenser,3078,Li-Ming,1,0,WizardAetherWalker,WizardArcaneOrbTriumvirate,WizardHeroicAbilityDisintegrate,WizardTeleportIllusionist,0,WizardArcaneOrbArcaneOrbit,0,4,10,14,4,32586,7989,9234,49809,68267,25201,0,0,9902,0:01:19,0.0,0:00:00,0:00:00,0:00:00,0:04:02,113556,3666,940,0,0,0,38,26,No,Mage
2025-01-12 23.52.33 Industrial District.StormReplay,aram,Industrial District,2.55.8.93382,us,0:15:23,Blue,WatchdogMan,2837,Orphea,1,0,OrpheaGrowingNightmare,OrpheaInsatiable,0,OrpheaAbyssalSymbiosis,0,OrpheaLurkingTerror,0,2,12,14,6,31595,3634,8653,43882,77831,69334,0,18625,8117,0:02:52,0.0,0:00:00,0:00:02,0:00:00,0:01:55,99743,22020,171,0,0,0,34,42,No,Ranged Assassin
2025-01-12 23.52.33 Industrial District.StormReplay,aram,Industrial District,2.55.8.93382,us,0:15:23,Blue,Raizenser,3015,Alexstrasza,1,0,AlexstraszaSurgeOfVitalityAbundance,0,AlexstraszaLifebinder,AlexstraszaDragonScales,AlexstraszaOverprotectiveAbundance,0,0,1,14,15,1,10995,2227,4665,17887,44294,45383,136054,5337,7818,0:00:39,0.0,0:00:00,0:00:00,0:00:00,0:01:11,31855,29138,0,0,0,0,19,59,No,Healer
2025-02-17 00.08.23 Industrial District.StormReplay,aram,Industrial District,2.55.9.93640,us,0:15:23,Blue,Indigente,164,Hanzo,1,mostHeroDamageDone,HanzoExplosiveArrows,HanzoTheDragonHungers,HanzoDragonstrike,HanzoFleetofFoot,HanzoPiercingArrows,HanzoTheDragonAwakens,0,2,11,13,5,25447,1030,1803,28280,72414,38476,0,0,6339,0:01:55,0.0,0:00:00,0:00:00,0:00:00,0:00:00,75310,24704,132,0,0,0,18,25,No,Ranged Assassin
2025-02-17 00.08.23 Industrial District.StormReplay,aram,Industrial District,2.55.9.93640,us,0:15:23,Blue,WatchdogMan,2878,Deckard,1,mostRoots,0,DeckardCubeMastery,0,DeckardSuperHealingPotion,DeckardScrollOfStoneCurse,0,0,0,13,13,4,26544,3847,3479,33870,16545,41310,79305,0,5340,0:01:50,0.000381944,0:00:00,0:00:00,0:00:00,0:00:00,47549,990,0,0,0,0,14,31,No,Healer
2025-01-12 23.52.33 Industrial District.StormReplay,aram,Industrial District,2.55.8.93382,us,0:15:23,Blue,Indigente,90,Muradin,1,mostTeamfightDamageTaken,MuradinCombatStyleThirdWind,MuradinMasteryDwarfTossHeavyImpact,MuradinHeroicAbilityAvatar,MuradinBronzebeardRage,0,MuradinMasteryPassiveStoneform,0,0,14,14,7,9555,1362,2682,13599,43234,137520,0,24874,5561,0:03:06,0.0,0:00:00,0:00:52,0:00:00,0:00:00,35572,19894,0,0,0,0,9,41,No,Tank
2025-05-25 22.24.07 Silver City.StormReplay,aram,Silver City,2.55.10.94189,us,0:15:21,Blue,Swift,699,Zul'jin,1,mostMercCampsCaptured,ZuljinTrollsBlood,0,ZuljinArcaniteAxes,ZuljinLacerate,ZuljinWrongPlaceWrongTime,0,0,0,5,5,4,44484,0,4234,53358,51986,51948,0,23511,10852,0:01:33,0.0,0:00:00,0:00:04,0:00:00,0:00:00,75369,35690,5601,4,0,0,45,31,No,Ranged Assassin
2025-05-25 22.24.07 Silver City.StormReplay,aram,Silver City,2.55.10.94189,us,0:15:21,Blue,Raizenser,3203,Zul'jin,1,0,ZuljinHeadhunter,ZuljinVoodooShuffle,ZuljinArcaniteAxes,ZuljinEyeOfZuljin,ZuljinWrongPlaceWrongTime,0,0,2,1,3,9,27269,0,1162,32127,52323,52174,0,15196,7978,0:02:47,0.0,0:00:00,0:00:04,0:00:00,0:00:00,64291,25817,5546,2,0,0,22,24,No,Ranged Assassin
